DECLARANT_ISO,PARTNER_ISO,FLOW,PRODUCT,PERIOD,VALUE_IN_EUROS
AT,AM,2,172,201912,2607
AT,AM,2,17S,201912,158477
AT,AM,2,201,201912,1860
AT,AM,2,204,201912,13420
AT,AM,2,205,201912,14811
AT,AM,2,212,201912,99811
AT,AM,2,221,201912,1698
AT,AM,2,222,201912,2483
AT,AM,2,231,201912,9727
AT,AM,2,234,201912,1164
AT,AM,2,257,201912,4191
AT,AM,2,259,201912,953
AT,AM,2,265,201912,15305
AT,AM,2,271,201912,26080
AT,AM,2,274,201912,10642
AT,AM,2,279,201912,73547
AT,AM,2,281,201912,126993
AT,AM,2,282,201912,30
AT,AM,2,289,201912,17997
AT,AM,2,321,201912,43400
AT,AM,2,325,201912,53586
AT,AM,2,329,201912,300
AT,AO,2,110,201912,161046
AT,AO,2,172,201912,156
AT,AO,2,221,201912,755
AT,AO,2,222,201912,7322
AT,AO,2,259,201912,4038
AT,AO,2,265,201912,11954
AT,AO,2,271,201912,553
AT,AO,2,272,201912,85
AT,AO,2,282,201912,5434
AT,AO,2,289,201912,2980
AT,AR,1,011,201912,11438
AT,AR,1,014,201912,76387
AT,AR,1,103,201912,604
AT,AR,1,110,201912,115256
AT,AR,1,141,201912,605
AT,AR,1,151,201912,2119732
AT,AR,1,152,201912,344
AT,AR,1,211,201912,261648
AT,AR,1,222,201912,67
AT,AR,1,257,201912,930
AT,AR,1,259,201912,2707
AT,AR,1,271,201912,14
AT,AR,1,279,201912,2047
AT,AR,1,281,201912,8312
AT,AR,1,292,201912,4283
AT,AR,1,321,201912,54
AT,AR,1,324,201912,74130
AT,AR,1,325,201912,13585
AT,AR,1,329,201912,5435
AT,AR,2,108,201912,1
AT,AR,2,110,201912,200151
AT,AR,2,139,201912,341
AT,AR,2,141,201912,31149
AT,AR,2,151,201912,578
AT,AR,2,152,201912,7988
AT,AR,2,162,201912,393168
AT,AR,2,171,201912,275070
AT,AR,2,172,201912,97
AT,AR,2,17S,201912,34232
AT,AR,2,192,201912,1307
AT,AR,2,201,201912,245569
AT,AR,2,203,201912,74240
AT,AR,2,204,201912,372
AT,AR,2,205,201912,288368
AT,AR,2,212,201912,207848
AT,AR,2,221,201912,132122
AT,AR,2,222,201912,116060
AT,AR,2,231,201912,48799
AT,AR,2,232,201912,130889
AT,AR,2,239,201912,68800
AT,AR,2,242,201912,16316
AT,AR,2,243,201912,50117
AT,AR,2,244,201912,52470
AT,AR,2,245,201912,200
AT,AR,2,251,201912,8097
AT,AR,2,257,201912,586794
AT,AR,2,259,201912,69225
AT,AR,2,261,201912,2708
AT,AR,2,262,201912,220
AT,AR,2,263,201912,3901
AT,AR,2,265,201912,433204
AT,AR,2,267,201912,2065
AT,AR,2,271,201912,1870227
AT,AR,2,272,201912,34601
AT,AR,2,273,201912,36671
AT,AR,2,274,201912,177033
AT,AR,2,275,201912,21239
AT,AR,2,279,201912,243132
AT,AR,2,281,201912,396855
AT,AR,2,282,201912,1094835
AT,AR,2,283,201912,23348
AT,AR,2,284,201912,2389075
AT,AR,2,289,201912,333160
AT,AR,2,293,201912,203858
AT,AR,2,309,201912,198111
AT,AR,2,321,201912,328
AT,AR,2,323,201912,5
AT,AR,2,324,201912,21638
AT,AR,2,325,201912,521228
AT,AR,2,329,201912,35146
AT,AU,1,030,201912,13481
AT,AU,1,089,201912,775
AT,AU,1,101,201912,25028
AT,AU,1,108,201912,1214
AT,AU,1,110,201912,90235
